Timestamp,Gender,"In the last month, on most days, you fell asleep around…",You typically wake up (without being forced to)…,"When you return to the room late (after 11 PM), you…",How often do you sweep/tidy your side of the room?,"After a full day of classes, your ideal evening is…","When friends visit, they typically leave by…",How much daily conversation do you want with a roommate?,"When you study in the room, you need…",How much does music or audio from a roommate's device bother you (without headphones)?,Your food preference is…,How sensitive are you to non-veg food smells in a shared room?,"Do you smoke/drink, and where?","Scenario: A recurring habit of the roommate bothers you (e.g. not switching off lights, taking your stuff). ","You're okay with a roommate using your things (charger, stationery, snacks) without asking…",You prefer the room temperature to be…,Lights in the room when you're winding down at night — you prefer…,"Your most important dealbreakers in a roommate, pick up to 3:
(Please choose only one option in each preference.) [Preference 1]","Your most important dealbreakers in a roommate, pick up to 3:
(Please choose only one option in each preference.) [Preference 2]","Your most important dealbreakers in a roommate, pick up to 3:
(Please choose only one option in each preference.) [Preference 3]",Optional: Enter any specific concerns or preferences not covered above.
3/14/2026 23:22:26,,11:30 PM – 1 AM,6 – 8 AM,I almost never return after 11 PM,Weekly,"Alone in the room — lights dim, silence",10 PM,2,Complete silence — any noise breaks focus,2,Strictly vegetarian,I'd prefer it not happen,I don't smoke/drink at all,Dropped a hint but haven't addressed it directly,Most daily-use items are fine,Comfortable (Cooler/Fan at 22–24°C),Complete darkness — lights off by 10 PM,Smoking in room,Sleep schedule clash,Loud noise / music,
3/15/2026 0:14:30,,11:30 PM – 1 AM,8 – 10 AM,Stay out until I know roommate is awake,Every 2–3 days,"Alone in the room — lights dim, silence",10 PM,5,Complete silence — any noise breaks focus,5,Vegetarian + eggs,Very — it's a dealbreaker,I don't smoke/drink at all,Set a clear boundary and expect it to be respected,Most daily-use items are fine,Comfortable (Cooler/Fan at 22–24°C),Complete darkness — lights off by 10 PM,Smoking in room,Loud noise / music,Roommate avoids all conflict,
3/15/2026 0:31:00,,1 AM – 3 AM,6 – 8 AM,Turn on the main light and move normally,Weekly,"Low-key — one person, quiet chat or a show",10 PM,3,Quiet — soft background is okay,2,Strictly vegetarian,Very — it's a dealbreaker,I don't smoke/drink at all,Set a clear boundary and expect it to be respected,Most daily-use items are fine,Comfortable (Cooler/Fan at 22–24°C),"Dim lamp is fine, main light off",Smoking in room,Frequent guests late at night,Loud noise / music,.
3/15/2026 0:34:29,,11:30 PM – 1 AM,8 – 10 AM,"Use phone torch, try to stay quiet",When it gets messy enough to bother me,"Out with people, barely in the room",I don't bring friends,5,"I use headphones, so room noise doesn't matter",2,Jain (no root vegetables),I'd prefer it not happen,I don't smoke/drink at all,Had one direct conversation about it,Most daily-use items are fine,No strong preference,Main light on is okay if someone's working,Lack of privacy,Smoking in room,Frequent guests late at night,
3/15/2026 0:48:22,,Varies wildly day to day,8 – 10 AM,"Use phone torch, try to stay quiet",When it gets messy enough to bother me,"Low-key — one person, quiet chat or a show",2 AM or later,3,Complete silence — any noise breaks focus,5,Strictly vegetarian,Very — it's a dealbreaker,I don't smoke/drink at all,Had one direct conversation about it,Only small things like a pen,Cool (Cooler/AC at 18–20°C),Main light on is okay if someone's working,Smoking in room,Frequent guests late at night,Poor cleanliness,
3/15/2026 18:42:06,,11:30 PM – 1 AM,8 – 10 AM,Turn on the main light and move normally,Every 2–3 days,"Friends in the room, casual hangout",Midnight,4,Quiet — soft background is okay,3,Vegetarian + eggs,Doesn't bother me,I don't smoke/drink at all,Had one direct conversation about it,Basically anything is fine,Comfortable (Cooler/Fan at 22–24°C),Main light on is okay if someone's working,Poor cleanliness,Smoking in room,Lack of privacy,My roommate should be someone who has emotional maturity and I could confide into
3/15/2026 18:55:23,,11:30 PM – 1 AM,6 – 8 AM,Turn on the main light and move normally,Weekly,"Alone in the room — lights dim, silence",10 PM,3,Complete silence — any noise breaks focus,4,Non-vegetarian,I eat non-veg myself,I don't smoke/drink at all,I stay quiet to keep the peace,Most daily-use items are fine,Comfortable (Cooler/Fan at 22–24°C),Main light on is okay if someone's working,Loud noise / music,Frequent guests late at night,Smoking in room,
3/15/2026 21:50:13,,11:30 PM – 1 AM,8 – 10 AM,Stay out until I know roommate is awake,Weekly,"Friends in the room, casual hangout",Midnight,3,"I use headphones, so room noise doesn't matter",3,Strictly vegetarian,Very — it's a dealbreaker,I don't smoke/drink at all,Dropped a hint but haven't addressed it directly,Only small things like a pen,Comfortable (Cooler/Fan at 22–24°C),Main light on is okay if someone's working,Frequent guests late at night,Temperature conflict,Poor cleanliness,
3/15/2026 21:52:45,,11:30 PM – 1 AM,After 10 AM,"Use phone torch, try to stay quiet",Weekly,"Friends in the room, casual hangout",Midnight,5,Quiet — soft background is okay,4,Vegetarian + eggs,I'd prefer it not happen,I don't smoke/drink at all,Had one direct conversation about it,Only small things like a pen,Comfortable (Cooler/Fan at 22–24°C),Complete darkness — lights off by 10 PM,Loud noise / music,Lack of privacy,Smoking in room,None
3/15/2026 22:10:18,,10 PM – 11:30 PM,6 – 8 AM,I almost never return after 11 PM,Every 2–3 days,"Out with people, barely in the room",I don't bring friends,2,Quiet — soft background is okay,3,Non-vegetarian,I eat non-veg myself,I don't smoke/drink at all,Set a clear boundary and expect it to be respected,Never — always ask first,Comfortable (Cooler/Fan at 22–24°C),"Dim lamp is fine, main light off",Lack of privacy,Sleep schedule clash,Loud noise / music,
3/15/2026 22:12:16,,1 AM – 3 AM,8 – 10 AM,I almost never return after 11 PM,Every 2–3 days,"Friends in the room, casual hangout",Midnight,3,Quiet — soft background is okay,5,Vegetarian + eggs,Doesn't bother me,I don't smoke/drink at all,Set a clear boundary and expect it to be respected,Never — always ask first,Comfortable (Cooler/Fan at 22–24°C),"Dim lamp is fine, main light off",Smoking in room,Poor cleanliness,Sleep schedule clash,Disturbance due to Friends of roommate 
3/15/2026 22:16:33,,10 PM – 11:30 PM,6 – 8 AM,Turn on the main light and move normally,Daily,"Alone in the room — lights dim, silence",I don't bring friends,5,Quiet — soft background is okay,1,Strictly vegetarian,Very — it's a dealbreaker,I don't smoke/drink at all,Dropped a hint but haven't addressed it directly,Most daily-use items are fine,Comfortable (Cooler/Fan at 22–24°C),"Dim lamp is fine, main light off",Poor cleanliness,Sleep schedule clash,Smoking in room,I think it's covers all about a life with  roommate 
3/15/2026 22:19:11,,11:30 PM – 1 AM,8 – 10 AM,I almost never return after 11 PM,When it gets messy enough to bother me,"Alone in the room — lights dim, silence",Midnight,5,Quiet — soft background is okay,1,Vegetarian + eggs,Doesn't bother me,I don't smoke/drink at all,Had one direct conversation about it,Basically anything is fine,Comfortable (Cooler/Fan at 22–24°C),Main light on is okay if someone's working,Smoking in room,Frequent guests late at night,Lack of privacy,How was your experience if you ever had a roommate 
3/15/2026 22:24:01,,11:30 PM – 1 AM,8 – 10 AM,Turn on the main light and move normally,When it gets messy enough to bother me,"Low-key — one person, quiet chat or a show",I don't bring friends,5,Complete silence — any noise breaks focus,2,Strictly vegetarian,I'd prefer it not happen,I don't smoke/drink at all,Had one direct conversation about it,Most daily-use items are fine,Comfortable (Cooler/Fan at 22–24°C),"Dim lamp is fine, main light off",Roommate avoids all conflict,Poor cleanliness,Roommate avoids all conflict,
3/15/2026 22:24:06,,11:30 PM – 1 AM,8 – 10 AM,I almost never return after 11 PM,Daily,"Friends in the room, casual hangout",10 PM,2,Quiet — soft background is okay,2,Vegetarian + eggs,Doesn't bother me,I don't smoke/drink at all,Had one direct conversation about it,Most daily-use items are fine,Comfortable (Cooler/Fan at 22–24°C),"Dim lamp is fine, main light off",Sleep schedule clash,Smoking in room,Poor cleanliness,
3/15/2026 22:24:52,,Varies wildly day to day,6 – 8 AM,"Use phone torch, try to stay quiet",Weekly,"Alone in the room — lights dim, silence",10 PM,5,Complete silence — any noise breaks focus,5,Non-vegetarian,I eat non-veg myself,I don't smoke/drink at all,Dropped a hint but haven't addressed it directly,Basically anything is fine,Comfortable (Cooler/Fan at 22–24°C),I wear a sleep mask — doesn't matter,Smoking in room,Frequent guests late at night,Loud noise / music,
3/15/2026 22:25:18,,11:30 PM – 1 AM,6 – 8 AM,I almost never return after 11 PM,Every 2–3 days,"Alone in the room — lights dim, silence",I don't bring friends,5,Complete silence — any noise breaks focus,5,Strictly vegetarian,Doesn't bother me,I don't smoke/drink at all,Had one direct conversation about it,Most daily-use items are fine,Comfortable (Cooler/Fan at 22–24°C),Complete darkness — lights off by 10 PM,Roommate avoids all conflict,Roommate avoids all conflict,Roommate avoids all conflict,
3/15/2026 22:45:18,,1 AM – 3 AM,After 10 AM,"Use phone torch, try to stay quiet",When it gets messy enough to bother me,"Out with people, barely in the room",10 PM,3,"I use headphones, so room noise doesn't matter",1,Non-vegetarian,I eat non-veg myself,I don't smoke/drink at all,Set a clear boundary and expect it to be respected,Never — always ask first,Comfortable (Cooler/Fan at 22–24°C),Main light on is okay if someone's working,Poor cleanliness,Smoking in room,Lack of privacy,Not understanding the roommates work schedule or flow when they have late night works dues to their academic curriculum  
3/15/2026 22:59:07,,1 AM – 3 AM,8 – 10 AM,I almost never return after 11 PM,Weekly,"Low-key — one person, quiet chat or a show",I don't bring friends,3,Quiet — soft background is okay,3,Strictly vegetarian,Doesn't bother me,I don't smoke/drink at all,Had one direct conversation about it,Most daily-use items are fine,Comfortable (Cooler/Fan at 22–24°C),Main light on is okay if someone's working,Smoking in room,Lack of privacy,Frequent guests late at night,
3/15/2026 23:17:23,,10 PM – 11:30 PM,6 – 8 AM,Turn on the main light and move normally,Every 2–3 days,"Friends in the room, casual hangout",10 PM,1,Quiet — soft background is okay,1,Strictly vegetarian,Doesn't bother me,I don't smoke/drink at all,Dropped a hint but haven't addressed it directly,Most daily-use items are fine,Comfortable (Cooler/Fan at 22–24°C),Complete darkness — lights off by 10 PM,Smoking in room,Poor cleanliness,Sleep schedule clash,
3/16/2026 11:47:12,,11:30 PM – 1 AM,6 – 8 AM,Turn on the main light and move normally,When it gets messy enough to bother me,"Out with people, barely in the room",Midnight,2,Quiet — soft background is okay,4,Strictly vegetarian,Very — it's a dealbreaker,I don't smoke/drink at all,Had one direct conversation about it,Only small things like a pen,No strong preference,Main light on is okay if someone's working,Smoking in room,Loud noise / music,Lack of privacy,
3/16/2026 14:44:52,,1 AM – 3 AM,8 – 10 AM,I almost never return after 11 PM,Daily,"Friends in the room, casual hangout",I don't bring friends,5,Complete silence — any noise breaks focus,1,Strictly vegetarian,Very — it's a dealbreaker,I don't smoke/drink at all,Had one direct conversation about it,Most daily-use items are fine,Comfortable (Cooler/Fan at 22–24°C),"Dim lamp is fine, main light off",Lack of privacy,Poor cleanliness,Frequent guests late at night,No
3/16/2026 21:22:42,,1 AM – 3 AM,8 – 10 AM,Turn on the main light and move normally,When it gets messy enough to bother me,"Friends in the room, casual hangout",2 AM or later,3,Quiet — soft background is okay,4,No preference,I eat non-veg myself,I sometimes smoke/drink in the room,I stay quiet to keep the peace,Most daily-use items are fine,Cool (Cooler/AC at 18–20°C),"Dim lamp is fine, main light off",Poor cleanliness,Roommate avoids all conflict,Lack of privacy," i don't like him , still managing but we should maintain our boundaries from the very beginning "
3/17/2026 0:46:47,,1 AM – 3 AM,After 10 AM,"Use phone torch, try to stay quiet",When it gets messy enough to bother me,"Out with people, barely in the room",10 PM,3,Quiet — soft background is okay,2,No preference,Doesn't bother me,I don't smoke/drink at all,Had one direct conversation about it,Most daily-use items are fine,Comfortable (Cooler/Fan at 22–24°C),Main light on is okay if someone's working,Smoking in room,Lack of privacy,Roommate avoids all conflict,
3/18/2026 14:27:58,,1 AM – 3 AM,8 – 10 AM,Stay out until I know roommate is awake,Every 2–3 days,"Friends in the room, casual hangout",10 PM,3,Quiet — soft background is okay,3,Non-vegetarian,I eat non-veg myself,I don't smoke/drink at all,Dropped a hint but haven't addressed it directly,Most daily-use items are fine,Comfortable (Cooler/Fan at 22–24°C),Complete darkness — lights off by 10 PM,Frequent guests late at night,Loud noise / music,Lack of privacy,
3/18/2026 15:04:20,,1 AM – 3 AM,8 – 10 AM,Turn on the main light and move normally,When it gets messy enough to bother me,"Alone in the room — lights dim, silence",10 PM,2,Quiet — soft background is okay,3,Non-vegetarian,Doesn't bother me,I don't smoke/drink at all,Had one direct conversation about it,Basically anything is fine,Comfortable (Cooler/Fan at 22–24°C),Complete darkness — lights off by 10 PM,Sleep schedule clash,Poor cleanliness,Lack of privacy,
3/18/2026 15:22:25,,1 AM – 3 AM,After 10 AM,Turn on the main light and move normally,When it gets messy enough to bother me,"Friends in the room, casual hangout",2 AM or later,5,"I use headphones, so room noise doesn't matter",2,Non-vegetarian,I eat non-veg myself,I sometimes smoke/drink in the room,Had one direct conversation about it,Basically anything is fine,Comfortable (Cooler/Fan at 22–24°C),Complete darkness — lights off by 10 PM,Roommate avoids all conflict,Lack of privacy,Temperature conflict,
3/18/2026 15:22:35,,1 AM – 3 AM,6 – 8 AM,Turn on the main light and move normally,Rarely / Never,"Friends in the room, casual hangout",Midnight,3,Complete silence — any noise breaks focus,2,Non-vegetarian,I eat non-veg myself,I don't smoke/drink at all,Had one direct conversation about it,Most daily-use items are fine,Cool (Cooler/AC at 18–20°C),"Dim lamp is fine, main light off",Loud noise / music,Temperature conflict,Lack of privacy,Ntg
3/18/2026 15:28:00,,11:30 PM – 1 AM,8 – 10 AM,I almost never return after 11 PM,When it gets messy enough to bother me,"Out with people, barely in the room",I don't bring friends,3,"I use headphones, so room noise doesn't matter",3,Non-vegetarian,I eat non-veg myself,I don't smoke/drink at all,Had one direct conversation about it,Most daily-use items are fine,Comfortable (Cooler/Fan at 22–24°C),Complete darkness — lights off by 10 PM,Sleep schedule clash,Frequent guests late at night,Temperature conflict,
3/18/2026 15:29:45,,11:30 PM – 1 AM,6 – 8 AM,I almost never return after 11 PM,When it gets messy enough to bother me,"Alone in the room — lights dim, silence",I don't bring friends,3,Complete silence — any noise breaks focus,5,Strictly vegetarian,I'd prefer it not happen,I don't smoke/drink at all,I stay quiet to keep the peace,Never — always ask first,Comfortable (Cooler/Fan at 22–24°C),Complete darkness — lights off by 10 PM,Sleep schedule clash,Loud noise / music,Frequent guests late at night,
3/18/2026 19:45:08,Male,11:30 PM – 1 AM,6 – 8 AM,Turn on the main light and move normally,Weekly,"Alone in the room — lights dim, silence",10 PM,3,Complete silence — any noise breaks focus,3,Strictly vegetarian,Very — it's a dealbreaker,I don't smoke/drink at all,Had one direct conversation about it,Only small things like a pen,Comfortable (Cooler/Fan at 22–24°C),Main light on is okay if someone's working,Smoking in room,Poor cleanliness,Frequent guests late at night,i'd prefer roommate of branch i'm interested in for the synergy (ahm ahm CS/AI)
